Feature1,Feature2,Correlation
popularity,popularity,1
duration_min,popularity,-0.023150962578804994
danceability,popularity,0.06427530302073968
energy,popularity,0.01372506520986661
loudness,popularity,0.07167370754925405
speechiness,popularity,-0.04708625525021173
acousticness,popularity,-0.03882825181040145
instrumentalness,popularity,-0.12747677554016085
liveness,popularity,-0.013857246416746991
valence,popularity,-0.011508132750188712
tempo,popularity,0.007280113913291598
popularity,duration_min,-0.023150962578804994
duration_min,duration_min,1
danceability,duration_min,-0.06414314733737776
energy,duration_min,0.0632547640484847
loudness,duration_min,3.570853714490269e-4
speechiness,duration_min,-0.06074901491577391
acousticness,duration_min,-0.10848338466817732
instrumentalness,duration_min,0.11737205649111784
liveness,duration_min,0.008109695604161752
valence,duration_min,-0.14702084783938416
tempo,duration_min,0.026002760063660275
popularity,danceability,0.06427530302073968
duration_min,danceability,-0.06414314733737776
danceability,danceability,1
energy,danceability,0.14391315110092281
loudness,danceability,0.27183831926407526
speechiness,danceability,0.10951934206600522
acousticness,danceability,-0.17704023596930057
instrumentalness,danceability,-0.1947499081598426
liveness,danceability,-0.13223739472760826
valence,danceability,0.49257768176341266
tempo,danceability,-0.021329158030150053
popularity,energy,0.01372506520986661
duration_min,energy,0.0632547640484847
danceability,energy,0.14391315110092281
energy,energy,1
loudness,energy,0.7587736370436364
speechiness,energy,0.1413318354561624
acousticness,energy,-0.7325689360098474
instrumentalness,energy,-0.18103827072310202
liveness,energy,0.18893985350998788
valence,energy,0.2563171153723403
tempo,energy,0.25862938737374663
popularity,loudness,0.07167370754925405
duration_min,loudness,3.570853714490269e-4
danceability,loudness,0.27183831926407526
energy,loudness,0.7587736370436364
loudness,loudness,1
speechiness,loudness,0.05529482950011265
acousticness,loudness,-0.5826644171222856
instrumentalness,loudness,-0.4347187387079808
liveness,loudness,0.07723802266228345
valence,loudness,0.28909485292688897
tempo,loudness,0.2286603529403135
popularity,speechiness,-0.04708625525021173
duration_min,speechiness,-0.06074901491577391
danceability,speechiness,0.10951934206600522
energy,speechiness,0.1413318354561624
loudness,speechiness,0.05529482950011265
speechiness,speechiness,1
acousticness,speechiness,0.005124358784320583
instrumentalness,speechiness,-0.09965917182802393
liveness,speechiness,0.2251003545995696
valence,speechiness,0.032934766019567546
tempo,speechiness,0.0040332114421792456
popularity,acousticness,-0.03882825181040145
duration_min,acousticness,-0.10848338466817732
danceability,acousticness,-0.17704023596930057
energy,acousticness,-0.7325689360098474
loudness,acousticness,-0.5826644171222856
speechiness,acousticness,0.005124358784320583
acousticness,acousticness,1
instrumentalness,acousticness,0.09607233195481076
liveness,acousticness,-0.01907257404483613
valence,acousticness,-0.10378063741483572
tempo,acousticness,-0.22025183757560549
popularity,instrumentalness,-0.12747677554016085
duration_min,instrumentalness,0.11737205649111784
danceability,instrumentalness,-0.1947499081598426
energy,instrumentalness,-0.18103827072310202
loudness,instrumentalness,-0.4347187387079808
speechiness,instrumentalness,-0.09965917182802393
acousticness,instrumentalness,0.09607233195481076
instrumentalness,instrumentalness,1
liveness,instrumentalness,-0.08715705985955684
valence,instrumentalness,-0.3307556010390872
tempo,instrumentalness,-0.056884864275557945
popularity,liveness,-0.013857246416746991
duration_min,liveness,0.008109695604161752
danceability,liveness,-0.13223739472760826
energy,liveness,0.18893985350998788
loudness,liveness,0.07723802266228345
speechiness,liveness,0.2251003545995696
acousticness,liveness,-0.01907257404483613
instrumentalness,liveness,-0.08715705985955684
liveness,liveness,1
valence,liveness,0.012322108636954007
tempo,liveness,-0.006113034508484827
popularity,valence,-0.011508132750188712
duration_min,valence,-0.14702084783938416
danceability,valence,0.49257768176341266
energy,valence,0.2563171153723403
loudness,valence,0.28909485292688897
speechiness,valence,0.032934766019567546
acousticness,valence,-0.10378063741483572
instrumentalness,valence,-0.3307556010390872
liveness,valence,0.012322108636954007
valence,valence,1
tempo,valence,0.09061693895914366
popularity,tempo,0.007280113913291598
duration_min,tempo,0.026002760063660275
danceability,tempo,-0.021329158030150053
energy,tempo,0.25862938737374663
loudness,tempo,0.2286603529403135
speechiness,tempo,0.0040332114421792456
acousticness,tempo,-0.22025183757560549
instrumentalness,tempo,-0.056884864275557945
liveness,tempo,-0.006113034508484827
valence,tempo,0.09061693895914366
tempo,tempo,1
