track_genre,popularity_category,track_count,percentage
anime,High,40,4
anime,Low,83,8.3
anime,Medium,872,87.6
chill,High,94,9.7
chill,Low,62,6.4
chill,Medium,816,84
emo,High,110,11.8
emo,Low,95,10.2
emo,Medium,727,78
grunge,High,78,9
grunge,Low,168,19.5
grunge,Medium,616,71.5
hard-rock,High,147,20.7
hard-rock,Low,97,13.7
hard-rock,Medium,465,65.6
indian,High,38,5.2
indian,Low,27,3.7
indian,Medium,668,91.1
k-pop,High,305,33.3
k-pop,Low,12,1.3
k-pop,Medium,599,65.4
latino,High,155,38.9
latino,Low,52,13.1
latino,Medium,191,48
metal,High,87,37.5
metal,Low,19,8.2
metal,Medium,126,54.3
piano,High,68,8.6
piano,Low,140,17.6
piano,Medium,586,73.8
pop-film,High,108,13.3
pop-film,Low,33,4
pop-film,Medium,674,82.7
progressive-house,High,22,2.9
progressive-house,Low,104,13.8
progressive-house,Medium,629,83.3
reggaeton,High,17,23
reggaeton,Low,4,5.4
reggaeton,Medium,53,71.6
sad,High,28,5
sad,Low,30,5.3
sad,Medium,506,89.7
sertanejo,Medium,826,100
